CODIGO|DESCRICAO|TIPO|COD_SUP|NIVEL|NATUREZA|ANO_2014|ANO_2015|ANO_2016|ANO_2017|ANO_2018|ANO_2019|ANO_2020|ANO_>=2021
1|ATIVO|S||1|01|ATIVO|ATIVO|ATIVO|ATIVO|ATIVO|ATIVO|ATIVO|ATIVO
1.01|ATIVO CIRCULANTE|S|1|2|01|ATIVO CIRCULANTE|ATIVO CIRCULANTE|ATIVO CIRCULANTE|ATIVO CIRCULANTE|ATIVO CIRCULANTE|ATIVO CIRCULANTE|ATIVO CIRCULANTE|ATIVO CIRCULANTE
1.01.01|DISPONIBILIDADES|S|1.01|3|01|DISPONIBILIDADES|DISPONIBILIDADES|DISPONIBILIDADES|DISPONIBILIDADES|DISPONIBILIDADES|DISPONIBILIDADES|DISPONIBILIDADES|DISPONIBILIDADES
1.01.01.01|CAIXA GERAL|S|1.01.01|4|01|CAIXA GERAL|CAIXA GERAL|CAIXA GERAL|CAIXA GERAL|CAIXA GERAL|CAIXA GERAL|CAIXA GERAL|CAIXA GERAL
1.01.01.01.01|Caixa Matriz|A|1.01.01.01|5|01|Caixa Matriz|Caixa Matriz|Caixa Matriz|Caixa Matriz|Caixa Matriz|Caixa Matriz|Caixa Matriz|Caixa Matriz
1.01.01.01.02|Caixa Filiais|A|1.01.01.01|5|01|Caixa Filiais|Caixa Filiais|Caixa Filiais|Caixa Filiais|Caixa Filiais|Caixa Filiais|Caixa Filiais|Caixa Filiais
1.01.01.02|DEPÓSITOS BANCÁRIOS À VISTA|S|1.01.01|4|01|DEPÓSITOS BANCÁRIOS À VISTA|DEPÓSITOS BANCÁRIOS À VISTA|DEPÓSITOS BANCÁRIOS À VISTA|DEPÓSITOS BANCÁRIOS À VISTA|DEPÓSITOS BANCÁRIOS À VISTA|DEPÓSITOS BANCÁRIOS À VISTA|DEPÓSITOS BANCÁRIOS À VISTA|DEPÓSITOS BANCÁRIOS À VISTA
1.01.01.02.01|Bancos Conta Movimento - No País|A|1.01.01.02|5|01|Bancos Conta Movimento - No País|Bancos Conta Movimento - No País|Bancos Conta Movimento - No País|Bancos Conta Movimento - No País|Bancos Conta Movimento - No País|Bancos Conta Movimento - No País|Bancos Conta Movimento - No País|Bancos Conta Movimento - No País
1.01.01.02.02|Bancos Conta Movimento - No Exterior|A|1.01.01.02|5|01|Bancos Conta Movimento - No Exterior|Bancos Conta Movimento - No Exterior|Bancos Conta Movimento - No Exterior|Bancos Conta Movimento - No Exterior|Bancos Conta Movimento - No Exterior|Bancos Conta Movimento - No Exterior|Bancos Conta Movimento - No Exterior|Bancos Conta Movimento - No Exterior
1.01.01.04|NUMERÁRIOS EM TRÂNSITO|S|1.01.01|4|01|NUMERÁRIOS EM TRÂNSITO|NUMERÁRIOS EM TRÂNSITO|NUMERÁRIOS EM TRÂNSITO|NUMERÁRIOS EM TRÂNSITO|NUMERÁRIOS EM TRÂNSITO|NUMERÁRIOS EM TRÂNSITO|NUMERÁRIOS EM TRÂNSITO|NUMERÁRIOS EM TRÂNSITO
1.01.01.04.01|Numerários em Trânsito|A|1.01.01.04|5|01|Numerários em Trânsito|Numerários em Trânsito|Numerários em Trânsito|Numerários em Trânsito|Numerários em Trânsito|Numerários em Trânsito|Numerários em Trânsito|Numerários em Trânsito
1.01.01.05|VALORES MOBILIÁRIOS  - NÃO HEDGE - NO PAÍS|S|1.01.01|4|01|TÍTULOS E VALORES MOBILIÁRIOS  - NÃO HEDGE - NO PAÍS|VALORES MOBILIÁRIOS  - NÃO HEDGE - NO PAÍS|VALORES MOBILIÁRIOS  - NÃO HEDGE - NO PAÍS|VALORES MOBILIÁRIOS  - NÃO HEDGE - NO PAÍS|VALORES MOBILIÁRIOS  - NÃO HEDGE - NO PAÍS|VALORES MOBILIÁRIOS  - NÃO HEDGE - NO PAÍS|VALORES MOBILIÁRIOS  - NÃO HEDGE - NO PAÍS|VALORES MOBILIÁRIOS  - NÃO HEDGE - NO PAÍS
1.01.01.05.01|Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País|A|1.01.01.05|5|01|Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País|Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País|Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País|Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País|Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País|Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País|Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País|Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País
1.01.01.05.02|Títulos Disponíveis para Venda - No País|A|1.01.01.05|5|01|Títulos Disponíveis para Venda - No País|Títulos Disponíveis para Venda - No País|Títulos Disponíveis para Venda - No País|Títulos Disponíveis para Venda - No País|Títulos Disponíveis para Venda - No País|Títulos Disponíveis para Venda - No País|Títulos Disponíveis para Venda - No País|Títulos Disponíveis para Venda - No País
1.01.01.05.03|Títulos Mantidos até o Vencimento - No País|A|1.01.01.05|5|01|Títulos Mantidos até o Vencimento - No País|Títulos Mantidos até o Vencimento - No País|Títulos Mantidos até o Vencimento - No País|Títulos Mantidos até o Vencimento - No País|Títulos Mantidos até o Vencimento - No País|Títulos Mantidos até o Vencimento - No País|Títulos Mantidos até o Vencimento - No País|Títulos Mantidos até o Vencimento - No País
1.01.01.05.10|Debêntures Emitidas por Partes Relacionadas - No País|A|1.01.01.05|5|01|Debêntures Emitidas por Partes Relacionadas - No País|Debêntures Emitidas por Partes Relacionadas - No País|Debêntures Emitidas por Partes Relacionadas - No País|Debêntures Emitidas por Partes Relacionadas - No País|Debêntures Emitidas por Partes Relacionadas - No País|Debêntures Emitidas por Partes Relacionadas - No País|Debêntures Emitidas por Partes Relacionadas - No País|Debêntures Emitidas por Partes Relacionadas - No País
1.01.01.05.11|Debêntures Emitidas por Partes Não Relacionadas - No País|A|1.01.01.05|5|01|Debêntures Emitidas por Partes Não Relacionadas - No País|Debêntures Emitidas por Partes Não Relacionadas - No País|Debêntures Emitidas por Partes Não Relacionadas - No País|Debêntures Emitidas por Partes Não Relacionadas - No País|Debêntures Emitidas por Partes Não Relacionadas - No País|Debêntures Emitidas por Partes Não Relacionadas - No País|Debêntures Emitidas por Partes Não Relacionadas - No País|Debêntures Emitidas por Partes Não Relacionadas - No País
1.01.01.05.15|Outros Empréstimos e Recebíveis - No País|A|1.01.01.05|5|01|Outros Empréstimos e Recebíveis - No País|Outros Empréstimos e Recebíveis - No País|Outros Empréstimos e Recebíveis - No País|Outros Empréstimos e Recebíveis - No País|Outros Empréstimos e Recebíveis - No País|Outros Empréstimos e Recebíveis - No País|Outros Empréstimos e Recebíveis - No País|Outros Empréstimos e Recebíveis - No País
