TabelaDinamica;CodigoTabDinamica;VersaoTabDinamica;Ano;COD_PLAN_REF;ESTRUTURA_COLUNAS
SPEDCONTABIL_CONTAS_REFERENCIAIS$SPEDCONTABIL_CONTASREF$1$198;CONTASREF;1;<2014;10;versão=1 Codigo, Nome, DataInicio, DataFim, Tipo_Conta, COD_CTA_SU, NÍVEL_CONT, COD_NAT, Utilizacao
SPEDCONTABIL_CONTAS_REFERENCIAIS$SPEDCONTABIL_CONTASREF_BACEN$1$199;CONTASREF_BACEN;1;<2014;20;versão=1 Codigo, Nome, DataInicio, DataFim, Tipo_Conta, COD_CTA_SU, NÍVEL_CONT, COD_NAT, Utilizacao
SPEDCONTABIL_CONTAS_REFERENCIAIS$SPEDCONTABIL_CONTASREF_SUSEP$1$200;CONTASREF_SUSEP;1;<2014;20;versão=1 Codigo, Nome, DataInicio, DataFim, Tipo_Conta, COD_CTA_SU, NÍVEL_CONT, COD_NAT, Utilizacao
SPEDCONTABIL_CONTAS_REFERENCIAIS$SPEDCONTABIL_CONTASREF_TSE$1$225;CONTASREF_TSE;1;<2014;10;versão=1 Codigo, Descriçao, DataInicio, DataFim, Tipo_Conta, COD_CTA_SU, NÍVEL_CONT, COD_NAT, Utilização
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L100_A$15$386;L100_A;15;2014;1;versão=15 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L100_A$4$599;L100_A;4;2015;1;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_L100_A$3$728;L100_A;3;2016;1;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_L100_A$2$870;L100_A;2;2017;1;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_L100_A$1$1045;L100_A;1;2018;1;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_L100_A$2$1189;L100_A;2;2019;1;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_L100_A$2$1341;L100_A;2;2020;1;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_L100_A$4$1494;L100_A;4;2021;1;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L100_B$7$387;L100_B;7;2014;3;versão=7 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L100_B$3$600;L100_B;3;2015;3;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_L100_B$3$729;L100_B;3;2016;3;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_L100_B$2$871;L100_B;2;2017;3;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_L100_B$1$1046;L100_B;1;2018;3;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_L100_B$2$1190;L100_B;2;2019;3;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_L100_B$5$1342;L100_B;5;2020;3;versão=5 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_L100_B$25$1495;L100_B;25;2021;3;versão=25 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L100_C$4$388;L100_C;4;2014;4;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L100_C$2$601;L100_C;2;2015;4;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_L100_C$3$730;L100_C;3;2016;4;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_L100_C$1$872;L100_C;1;2017;4;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_L100_C$1$1047;L100_C;1;2018;4;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_L100_C$1$1191;L100_C;1;2019;4;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_L100_C$2$1343;L100_C;2;2020;4;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_L100_C$4$1496;L100_C;4;2021;4;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L300_A$6$395;L300_A;6;2014;1;versão=6 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L300_A$3$602;L300_A;3;2015;1;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_L300_A$5$731;L300_A;5;2016;1;versão=5 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_L300_A$2$873;L300_A;2;2017;1;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_L300_A$1$1048;L300_A;1;2018;1;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_L300_A$2$1192;L300_A;2;2019;1;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
