TabelaDinamica;CodigoTabDinamica;VersaoTabDinamica;Ano;TipoDemonstracao;COD_PLAN_REF;DESC_COD_PLAN_REF;ESTRUTURA_COLUNAS
SPEDCONTABIL_CONTAS_REFERENCIAIS$SPEDCONTABIL_CONTASREF$1$198;REF;1;<2014;Balanço Patrimonial e Demonstração de Resultados;10;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_CONTAS_REFERENCIAIS$SPEDCONTABIL_CONTASREF_BACEN$1$199;REF_BACEN;1;<2014;Balanço Patrimonial e Demonstração de Resultados;20;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_CONTAS_REFERENCIAIS$SPEDCONTABIL_CONTASREF_SUSEP$1$200;REF_SUSEP;1;<2014;Balanço Patrimonial e Demonstração de Resultados;20;4 – Seguradoras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_CONTAS_REFERENCIAIS$SPEDCONTABIL_CONTASREF_TSE$1$225;REF_TSE;1;<2014;Balanço Patrimonial e Demonstração de Resultados;10;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L100_A$15$386;L100_A;15;2014;Balanço Patrimonial;1;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L100_B$7$387;L100_B;7;2014;Balanço Patrimonial;3;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L100_C$4$388;L100_C;4;2014;Balanço Patrimonial;4;4 – Seguradoras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L300_A$6$395;L300_A;6;2014;Demonstração de Resultados;1;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L300_B$5$396;L300_B;5;2014;Demonstração de Resultados;3;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_L300_C$2$397;L300_C;2;2014;Demonstração de Resultados;4;4 – Seguradoras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_P100$12$389;P100;12;2014;Balanço Patrimonial;2;2 – PJ em Geral – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_P150$3$398;P150;3;2014;Demonstração de Resultados;2;2 – PJ em Geral – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_A$3$390;U100_A;3;2014;Balanço Patrimonial;5;5 – Imunes e Isentas em Geral;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_B$4$391;U100_B;4;2014;Balanço Patrimonial;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_C$3$392;U100_C;3;2014;Balanço Patrimonial;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_D$7$393;U100_D;7;2014;Balanço Patrimonial;8;8 – Entidades Fechadas de Previdência Complementar;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_E$3$394;U100_E;3;2014;Balanço Patrimonial;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U150_A$1$399;U150_A;1;2014;Demonstração de Resultados;5;5 – Imunes e Isentas em Geral;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U150_B$1$400;U150_B;1;2014;Demonstração de Resultados;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U150_C$2$401;U150_C;2;2014;Demonstração de Resultados;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U150_D$3$402;U150_D;3;2014;Demonstração de Resultados;8;8 – Entidades Fechadas de Previdência Complementar;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U150_E$3$403;U150_E;3;2014;Demonstração de Resultados;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L100_A$4$599;L100_A;4;2015;Balanço Patrimonial;1;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L100_B$3$600;L100_B;3;2015;Balanço Patrimonial;3;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L100_C$2$601;L100_C;2;2015;Balanço Patrimonial;4;4 – Seguradoras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L300_A$3$602;L300_A;3;2015;Demonstração de Resultados;1;1 – PJ em Geral – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L300_B$7$603;L300_B;7;2015;Demonstração de Resultados;3;3 – Financeiras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_L300_C$4$616;L300_C;4;2015;Demonstração de Resultados;4;4 – Seguradoras – Lucro Real;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_P100$3$604;P100;3;2015;Balanço Patrimonial;2;2 – PJ em Geral – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_P150$2$605;P150;2;2015;Demonstração de Resultados;2;2 – PJ em Geral – Lucro Presumido;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_A$3$606;U100_A;3;2015;Balanço Patrimonial;5;5 – Imunes e Isentas em Geral;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_B$3$607;U100_B;3;2015;Balanço Patrimonial;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_C$3$608;U100_C;3;2015;Balanço Patrimonial;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_D$6$609;U100_D;6;2015;Balanço Patrimonial;8;8 – Entidades Fechadas de Previdência Complementar;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_E$5$590;U100_E;5;2015;Balanço Patrimonial;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_E$5$610;U100_E;5;2015;Balanço Patrimonial;9;9 – Partidos Políticos;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U150_A$2$611;U150_A;2;2015;Demonstração de Resultados;5;5 – Imunes e Isentas em Geral;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U150_B$7$612;U150_B;7;2015;Demonstração de Resultados;6;6 – Imunes e Isentas – Financeiras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U150_C$5$597;U150_C;5;2015;Demonstração de Resultados;7;7 – Imunes e Isentas – Seguradoras;CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
