CODIGO|DESCRICAO|DT_INI|DT_FIM|TIPO|COD_SUP|NIVEL|NATUREZA|UTILIZACAO
33|TOTAL GERAL DO ATIVO|01072005||S||1|01|S
95|TOTAL GERAL DO PASSIVO|01072005||S||1|02|S
39999993|TOTAL GERAL DO ATIVO|01061988|01071991|S||1||S
99999995|TOTAL GERAL DO PASSIVO|01061988|01071991|S||1||S
10000007|CIRCULANTE E REALIZAVEL A LONGO PRAZO|01072005||S|33|2|01|S
20000004|PERMANENTE|01022000||S|33|2|01|S
30000001|COMPENSACAO|01072005||S|33|2|05|S
40000008|CIRCULANTE EXIGIVEL A LONGO PRAZO|01072005||S|95|2|02|S
50000005|RESULTADOS DE EXERCICIOS FUTUROS|01022000||S|95|2|02|S
60000002|PATRIMONIO LIQUIDO|01022000||S|95|2|03|S
70000009|CONTAS DE RESULTADO CREDORAS|01022000||S|95|2|04|S
80000006|(-) CONTAS DE RESULTADO DEVEDORAS|01022000||S|95|2|04|S
90000003|COMPENSACAO|01072005||S|95|2|05|S
11000006|DISPONIBILIDADES|01061988|01071991|S|10000007|3||S
12000005|APLICACOES INTERFINANCEIRAS DE LIQUIDEZ|01061988|01121989|S|10000007|3||S
13000004|TITULOS E VAL. MOB. E INST. FINANC. DERIVATIVOS|01061988|01071991|S|10000007|3||S
14000003|RELACOES INTERFINANCEIRAS|01061988|01071991|S|10000007|3||S
15000002|RELACOES INTERDEPENDENCIAS|01061988|01111991|S|10000007|3||S
16000001|OPERACOES DE CREDITO|01061988|01121989|S|10000007|3||S
17000000|OPERACOES DE ARRENDAMENTO MERCANTIL|01061988|01121989|S|10000007|3||S
18000009|OUTROS CREDITOS|01061988|01121989|S|10000007|3||S
19000008|OUTROS VALORES E BENS|01061988|01071991|S|10000007|3||S
11100009|CAIXA|01061988|01071991|S|11000006|4||S
11200002|DEPOSITOS BANCARIOS|01061988|01111989|S|11000006|4||S
11300005|RESERVAS LIVRES|01061988|01121989|S|11000006|4||S
11400008|APLICACOES EM OURO|01061988|01101988|S|11000006|4||S
11500001|DISPONIBILIDADES EM MOEDAS ESTRANGEIRAS|01011992|01101992|S|11000006|4||S
11110006|CAIXA|01061988|01071991|A|11100009|5||S
