CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
1|ATIVO|01012020|31122020|2|S||1|01
1.1|DISPONÍVEL|01012020|31122020|3|S|1|2|01
1.1.1|Imediato|01012020|31122020|4|A|1.1|3|01
1.1.2|Vinculado|01012020|31122020|5|A|1.1|3|01
1.2|REALIZÁVEL|01012020|31122020|6|S|1|2|01
1.2.1|GESTÃO PREVIDENCIAL|01012020|31122020|7|S|1.2|3|01
1.2.1.1|RECURSOS A RECEBER|01012020|31122020|8|S|1.2.1|4|01
1.2.1.1.01|CONTRIBUIÇÕES DO MÊS|01012020|31122020|9|S|1.2.1.1|5|01
1.2.1.1.01.01|Patrocinador(es)|01012020|31122020|10|A|1.2.1.1.01|6|01
1.2.1.1.01.02|Instituidor(es)|01012020|31122020|11|A|1.2.1.1.01|6|01
1.2.1.1.01.03|Participantes|01012020|31122020|12|A|1.2.1.1.01|6|01
1.2.1.1.01.04|Autopatrocinados|01012020|31122020|13|A|1.2.1.1.01|6|01
1.2.1.1.01.05|Participantes em BPD|01012020|31122020|14|A|1.2.1.1.01|6|01
1.2.1.1.02|CONTRIBUIÇÕES EM ATRASO|01012020|31122020|15|S|1.2.1.1|5|01
1.2.1.1.02.01|Patrocinador(es)|01012020|31122020|16|A|1.2.1.1.02|6|01
1.2.1.1.02.02|Instituidor(es)|01012020|31122020|17|A|1.2.1.1.02|6|01
1.2.1.1.02.03|Participantes|01012020|31122020|18|A|1.2.1.1.02|6|01
1.2.1.1.02.04|Autopatrocinados|01012020|31122020|19|A|1.2.1.1.02|6|01
1.2.1.1.02.05|Participantes em BPD|01012020|31122020|20|A|1.2.1.1.02|6|01
1.2.1.1.03|CONTRIBUIÇÕES SOBRE 13º SALÁRIO|01012020|31122020|21|S|1.2.1.1|5|01
1.2.1.1.03.01|Patrocinador(es)|01012020|31122020|22|A|1.2.1.1.03|6|01
1.2.1.1.03.02|Instituidor(es)|01012020|31122020|23|A|1.2.1.1.03|6|01
1.2.1.1.03.03|Participantes|01012020|31122020|24|A|1.2.1.1.03|6|01
1.2.1.1.03.04|Autopatrocinados|01012020|31122020|25|A|1.2.1.1.03|6|01
1.2.1.1.03.05|Participantes em BPD|01012020|31122020|26|A|1.2.1.1.03|6|01
1.2.1.1.04|CONTRIBUIÇÕES CONTRATADAS|01012020|31122020|27|S|1.2.1.1|5|01
1.2.1.1.04.01|Contribuições em Atraso Contratadas|01012020|31122020|28|A|1.2.1.1.04|6|01
1.2.1.1.04.02|Serviço Passado Contratado|01012020|31122020|29|A|1.2.1.1.04|6|01
1.2.1.1.04.03|Déficit Técnico Contratado|01012020|31122020|30|A|1.2.1.1.04|6|01
1.2.1.1.04.99|Outras Contratações|01012020|31122020|31|A|1.2.1.1.04|6|01
1.2.1.1.99|Outros Recursos a Receber|01012020|31122020|32|A|1.2.1.1|5|01
1.2.1.2|Adiantamentos|01012020|31122020|33|A|1.2.1|4|01
1.2.1.3|Resultados a Realizar|01012020|31122020|34|A|1.2.1|4|01
1.2.1.4|Custeio Administrativo Antecipado|01012020|31122020|35|A|1.2.1|4|01
1.2.1.5|Depósitos Judiciais/Recursais|01012020|31122020|36|A|1.2.1|4|01
1.2.1.9|Outros Realizáveis|01012020|31122020|37|A|1.2.1|4|01
1.2.2|GESTÃO ADMINISTRATIVA|01012020|31122020|38|S|1.2|3|01
1.2.2.1|CONTAS A RECEBER|01012020|31122020|39|S|1.2.2|4|01
1.2.2.1.01|CONTRIBUIÇÕES PARA CUSTEIO|01012020|31122020|40|S|1.2.2.1|5|01
1.2.2.1.01.01|Patrocinador(es)|01012020|31122020|41|A|1.2.2.1.01|6|01
1.2.2.1.01.02|Instituidor(es)|01012020|31122020|42|A|1.2.2.1.01|6|01
1.2.2.1.01.03|Participantes|01012020|31122020|43|A|1.2.2.1.01|6|01
1.2.2.1.01.04|Autopatrocinados|01012020|31122020|44|A|1.2.2.1.01|6|01
1.2.2.1.01.05|Participantes em BPD|01012020|31122020|45|A|1.2.2.1.01|6|01
1.2.2.1.02|CONTRIBUIÇÕES PARA CUSTEIO EM ATRASO|01012020|31122020|46|S|1.2.2.1|5|01
1.2.2.1.02.01|Patrocinador(es)|01012020|31122020|47|A|1.2.2.1.02|6|01
1.2.2.1.02.02|Instituidor(es)|01012020|31122020|48|A|1.2.2.1.02|6|01
1.2.2.1.02.03|Participantes|01012020|31122020|49|A|1.2.2.1.02|6|01
1.2.2.1.02.04|Autopatrocinados|01012020|31122020|50|A|1.2.2.1.02|6|01
1.2.2.1.02.05|Participantes em BPD|01012020|31122020|51|A|1.2.2.1.02|6|01
1.2.2.1.03|CONTRIBUIÇÕES PARA CUSTEIO CONTRATADAS|01012020|31122020|52|S|1.2.2.1|5|01
1.2.2.1.03.01|Contribuições em Atraso Contratadas|01012020|31122020|53|A|1.2.2.1.03|6|01
1.2.2.1.03.02|Serviço Passado Contratado|01012020|31122020|54|A|1.2.2.1.03|6|01
1.2.2.1.03.99|Outras Contratações|01012020|31122020|55|A|1.2.2.1.03|6|01
1.2.2.1.04|Responsabilidade de Empregados|01012020|31122020|56|A|1.2.2.1|5|01
1.2.2.1.05|Responsabilidade de Terceiros|01012020|31122020|57|A|1.2.2.1|5|01
1.2.2.1.99|Outros Recursos a Receber|01012020|31122020|58|A|1.2.2.1|5|01
1.2.2.2|Despesas Antecipadas|01012020|31122020|59|A|1.2.2|4|01
1.2.2.3|Participação no Plano de Gestão Administrativa|01012020|31122020|60|A|1.2.2|4|01
1.2.2.4|Depósitos Judiciais/Recursais|01012020|31122020|61|A|1.2.2|4|01
1.2.2.5|Tributos a Compensar|01012020|31122020|62|A|1.2.2|4|01
1.2.2.9|Outros Realizáveis|01012020|31122020|63|A|1.2.2|4|01
1.2.3|INVESTIMENTOS|01012020|31122020|64|S|1.2|3|01
1.2.3.1|TÍTULOS PÚBLICOS|01012020|31122020|65|S|1.2.3|4|01
1.2.3.1.01|Títulos Públicos Federais|01012020|31122020|66|A|1.2.3.1|5|01
1.2.3.1.02|Títulos Públicos Estaduais|01012020|31122020|67|A|1.2.3.1|5|01
1.2.3.1.03|Títulos Públicos Municipais|01012020|31122020|68|A|1.2.3.1|5|01
