CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
3|RESULTADO LÍQUIDO DO PERÍODO|01012015||1|S||1|04
3.01|RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE GERAL|01012015||2|S|3|2|04
3.01.01|RESULTADO OPERACIONAL|01012015||3|S|3.01|3|04
3.01.01.01|RECEITA LIQUIDA|01012015||4|S|3.01.01|4|04
3.01.01.01.01|RECEITA BRUTA|01012015||5|S|3.01.01.01|5|04
3.01.01.01.01.01|Receita de Exportação Direta de Mercadorias e Produtos|01012015||6|A|3.01.01.01.01|6|04
3.01.01.01.01.02|Receita de Vendas de Mercadorias e Produtos a Comercial Exportadora com Fim Específico de Exportação|01012015||7|A|3.01.01.01.01|6|04
3.01.01.01.01.03|Receita de Exportação de Serviços|01012015||8|A|3.01.01.01.01|6|04
3.01.01.01.01.04|Receita da Venda de Produtos de Fabricação Própria no Mercado Interno|01012015||9|A|3.01.01.01.01|6|04
3.01.01.01.01.05|Receita da Revenda de Mercadorias no Mercado Interno|01012015||10|A|3.01.01.01.01|6|04
3.01.01.01.01.06|Receita da Prestação de Serviços no Mercado Interno|01012015||11|A|3.01.01.01.01|6|04
3.01.01.01.01.07|Receita da Venda de Unidades Imobiliárias|01012015||12|A|3.01.01.01.01|6|04
3.01.01.01.01.08|Receita da Locação de Bens Móveis e Imóveis|01012015||13|A|3.01.01.01.01|6|04
3.01.01.01.01.20|Receita de Contrato de Construção|01012015||14|A|3.01.01.01.01|6|04
3.01.01.01.01.25|Receita de Direito de Exploração Serviço Público|01012015||15|A|3.01.01.01.01|6|04
3.01.01.01.01.30|Receita de Securitização de Créditos|01012015||16|A|3.01.01.01.01|6|04
3.01.01.01.01.98|Outras Receitas da Atividade Geral|01012015||17|A|3.01.01.01.01|6|04
3.01.01.01.02|DEDUÇÕES DA RECEITA BRUTA|01012015||18|S|3.01.01.01|5|04
3.01.01.01.02.01|(-) Vendas Canceladas e Devoluções de Vendas|01012015||19|A|3.01.01.01.02|6|04
3.01.01.01.02.02|(-) Descontos Incondicionais e Abatimentos|01012015||20|A|3.01.01.01.02|6|04
3.01.01.01.02.03|(-) ICMS|01012015||21|A|3.01.01.01.02|6|04
3.01.01.01.02.04|(-) COFINS Sobre Receita Bruta|01012015||22|A|3.01.01.01.02|6|04
