CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
1|ATIVO|01012020|31122020|2|S||1|01
1.01|CIRCULANTE|01012020|31122020|3|S|1|2|01
1.01.01|DISPONÍVEL|01012020|31122020|4|S|1.01|3|01
1.01.01.01|Caixa|01012020|31122020|5|A|1.01.01|4|01
1.01.01.02|Valores em Trânsito|01012020|31122020|6|A|1.01.01|4|01
1.01.01.03|Bancos Conta Depósitos|01012020|31122020|7|A|1.01.01|4|01
1.01.01.04|Aplicações no Mercado Aberto|01012020|31122020|8|A|1.01.01|4|01
1.01.02|APLICAÇÕES|01012020|31122020|9|S|1.01|3|01
1.01.02.01|Títulos de Renda Fixa Vinculados à Cobertura de Provisões Técnicas|01012020|31122020|10|A|1.01.02|4|01
1.01.02.02|Títulos de Renda Fixa Não Vinculados à Cobertura de Provisões Técnicas|01012020|31122020|11|A|1.01.02|4|01
1.01.02.03|Títulos de Renda Variável Vinculados à Cobertura de Provisões Técnicas|01012020|31122020|12|A|1.01.02|4|01
1.01.02.04|Títulos de Renda Variável Não Vinculados à Cobertura de Provisões Técnicas|01012020|31122020|13|A|1.01.02|4|01
1.01.02.05|Quotas de Fundos de Investimentos Vinculadas à Cobertura de Provisões Técnicas|01012020|31122020|14|A|1.01.02|4|01
1.01.02.06|Quotas de Fundos de Investimentos Não Vinculadas à Cobertura de Provisões Técnicas|01012020|31122020|15|A|1.01.02|4|01
1.01.02.07|Aplicações no Exterior Vinculadas à Cobertura de Provisões Técnicas|01012020|31122020|16|A|1.01.02|4|01
1.01.02.08|Aplicações no Exterior Não Vinculadas à Cobertura de Provisões Técnicas|01012020|31122020|17|A|1.01.02|4|01
1.01.02.09|Outras Aplicações Vinculadas à Cobertura de Provisões Técnicas|01012020|31122020|18|A|1.01.02|4|01
1.01.02.10|Outras Aplicações Não Vinculadas à Cobertura de Reservas|01012020|31122020|19|A|1.01.02|4|01
1.01.03|CRÉDITO DAS OPERAÇÕES|01012020|31122020|20|S|1.01|3|01
1.01.03.01|Crédito das Operações - Prêmios a Receber|01012020|31122020|21|A|1.01.03|4|01
1.01.03.02|Crédito das Operações - Seguradoras|01012020|31122020|22|A|1.01.03|4|01
1.01.03.03|Crédito das Operações - Resseguradoras|01012020|31122020|23|A|1.01.03|4|01
1.01.03.04|Crédito das Operações - Previdência Complementar|01012020|31122020|24|A|1.01.03|4|01
1.01.03.05|Crédito das Operações - Capitalização|01012020|31122020|25|A|1.01.03|4|01
1.01.03.06|Outros Créditos Operacionais|01012020|31122020|26|A|1.01.03|4|01
1.01.04|TÍTULOS E CRÉDITOS A RECEBER|01012020|31122020|27|S|1.01|3|01
1.01.04.01|Imposto de Renda a Compensar|01012020|31122020|28|A|1.01.04|4|01
1.01.04.02|Contribuição Social a Compensar|01012020|31122020|29|A|1.01.04|4|01
1.01.04.03|Créditos de Previdência Social|01012020|31122020|30|A|1.01.04|4|01
1.01.04.04|Cofins a Compensar|01012020|31122020|31|A|1.01.04|4|01
1.01.04.05|PIS a Compensar|01012020|31122020|32|A|1.01.04|4|01
1.01.04.06|Outros Créditos Tributários e Previdenciários|01012020|31122020|33|A|1.01.04|4|01
1.01.04.07|Depósitos Judiciais e Fiscais - Tributos|01012020|31122020|34|A|1.01.04|4|01
1.01.04.08|Outros Títulos e Créditos a Receber|01012020|31122020|35|A|1.01.04|4|01
1.01.05|OUTRAS CONTAS|01012020|31122020|36|S|1.01|3|01
