CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
3|DESPESAS|01012020|31122020|1|S||1|04
3.1|DESPESAS DA ATIVIDADE PARTIDÁRIA|01012020|31122020|2|S|3|2|04
3.1.1|FP - DESPESAS EFETUADAS COM FUNDO PARTIDÁRIO|01012020|31122020|3|S|3.1|3|04
3.1.1.01|FP - DESPESAS GERAIS E ADMINISTRATIVAS|01012020|31122020|4|S|3.1.1|4|04
3.1.1.01.01|FP - DESPESAS COM PESSOAL|01012020|31122020|5|S|3.1.1.01|5|04
3.1.1.01.01.01|FP - Despesas com Salários e ordenados|01012020|31122020|6|A|3.1.1.01.01|6|04
3.1.1.01.01.02|FP - Despesas com Férias|01012020|31122020|7|A|3.1.1.01.01|6|04
3.1.1.01.01.03|FP - Despesas com 13º salário|01012020|31122020|8|A|3.1.1.01.01|6|04
3.1.1.01.01.04|FP - Despesas com Previdência social|01012020|31122020|9|A|3.1.1.01.01|6|04
3.1.1.01.01.05|FP - Despesas com FGTS|01012020|31122020|10|A|3.1.1.01.01|6|04
3.1.1.01.01.06|FP - Despesas com PIS sobre folha de pagamento|01012020|31122020|11|A|3.1.1.01.01|6|04
3.1.1.01.01.07|FP - Despesas com Seguro de vida de empregados|01012020|31122020|12|A|3.1.1.01.01|6|04
3.1.1.01.01.08|FP - Despesas com alimentação do trabalhador|01012020|31122020|13|A|3.1.1.01.01|6|04
3.1.1.01.01.09|FP - Despesas com auxílio-transporte|01012020|31122020|14|A|3.1.1.01.01|6|04
3.1.1.01.01.10|FP - Despesas com assistência médica e social|01012020|31122020|15|A|3.1.1.01.01|6|04
3.1.1.01.01.11|FP - Despesas com rescisão de contrato de trabalho|01012020|31122020|16|A|3.1.1.01.01|6|04
3.1.1.01.01.12|FP - Despesas com Estagiários|01012020|31122020|17|A|3.1.1.01.01|6|04
