CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
1|ATIVO|01012021|31129999|2|S||1|01
1.01|ATIVO CIRCULANTE|01012021|31129999|3|S|1|2|01
1.01.01|DISPONIBILIDADES|01012021|31129999|4|S|1.01|3|01
1.01.01.01|CAIXA GERAL|01012021|31129999|5|S|1.01.01|4|01
1.01.01.01.01|Caixa Matriz|01012021|31129999|6|A|1.01.01.01|5|01
1.01.01.01.02|Caixa Filiais|01012021|31129999|7|A|1.01.01.01|5|01
1.01.01.02|DEPÓSITOS BANCÁRIOS À VISTA|01012021|31129999|8|S|1.01.01|4|01
1.01.01.02.01|Bancos Conta Movimento - No País|01012021|31129999|9|A|1.01.01.02|5|01
1.01.01.02.02|Bancos Conta Movimento - No Exterior|01012021|31129999|10|A|1.01.01.02|5|01
1.01.01.04|NUMERÁRIOS EM TRÂNSITO|01012021|31129999|11|S|1.01.01|4|01
1.01.01.04.01|Numerários em Trânsito|01012021|31129999|12|A|1.01.01.04|5|01
1.01.01.05|VALORES MOBILIÁRIOS  - NÃO HEDGE - NO PAÍS|01012021|31129999|13|S|1.01.01|4|01
1.01.01.05.01|Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País|01012021|31129999|14|A|1.01.01.05|5|01
1.01.01.05.02|Títulos Disponíveis para Venda - No País|01012021|31129999|15|A|1.01.01.05|5|01
1.01.01.05.03|Títulos Mantidos até o Vencimento - No País|01012021|31129999|16|A|1.01.01.05|5|01
1.01.01.05.10|Debêntures Emitidas por Partes Relacionadas - No País|01012021|31129999|17|A|1.01.01.05|5|01
1.01.01.05.11|Debêntures Emitidas por Partes Não Relacionadas - No País|01012021|31129999|18|A|1.01.01.05|5|01
1.01.01.05.15|Outros Empréstimos e Recebíveis - No País|01012021|31129999|19|A|1.01.01.05|5|01
1.01.01.05.50|(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) -  Valores Mobiliários - No País|01012021|31129999|20|A|1.01.01.05|5|01
1.01.01.05.55|(-) Perdas  por Redução ao Valor Recuperável (Impairment)- Valores Mobiliários - No País|01012021|31129999|21|A|1.01.01.05|5|01
1.01.01.05.70|Subconta - Ajuste a Valor Justo - Valores Mobiliários - Não Hedge -No País|01012021|31129999|22|A|1.01.01.05|5|01
1.01.01.05.90|Subconta - Adoção Inicial -  Valores Mobiliários - Não Hedge - No País|01012021|31129999|23|A|1.01.01.05|5|01
1.01.01.06|VALORES MOBILIÁRIOS  - HEDGE - NO PAÍS|01012021|31129999|24|S|1.01.01|4|01
1.01.01.06.01|Derivativos - Hedge Valor Justo - No País|01012021|31129999|25|A|1.01.01.06|5|01
1.01.01.06.02|Derivativos - Hedge Fluxo de Caixa - No País|01012021|31129999|26|A|1.01.01.06|5|01
1.01.01.06.03|Derivativos - Hedge  Investimento no Exterior - No País|01012021|31129999|27|A|1.01.01.06|5|01
1.01.01.06.70|Subconta - Ajuste a Valor Justo - Valores Mobiliários - Hedge - No País|01012021|31129999|28|A|1.01.01.06|5|01
1.01.01.06.90|Subconta - Adoção Inicial -  Valores Mobiliários - Hedge - No País|01012021|31129999|29|A|1.01.01.06|5|01
1.01.01.09|VALORES MOBILIÁRIOS - NÃO HEDGE - NO EXTERIOR|01012021|31129999|30|S|1.01.01|4|01
1.01.01.09.01|Títulos para Negociação - Mensurados a Valor Justo por Meio de Resultado (VJPR) - No Exterior|01012021|31129999|31|A|1.01.01.09|5|01
1.01.01.09.02|Títulos Disponíveis para Venda - No Exterior|01012021|31129999|32|A|1.01.01.09|5|01
1.01.01.09.03|Títulos Mantidos até o Vencimento - No Exterior|01012021|31129999|33|A|1.01.01.09|5|01
1.01.01.09.10|Debêntures emitidas por Partes Relacionadas - No Exterior|01012021|31129999|34|A|1.01.01.09|5|01
1.01.01.09.11|Debêntures emitidas por Partes Não Relacionadas - No Exterior|01012021|31129999|35|A|1.01.01.09|5|01
1.01.01.09.15|Outros Empréstimos e Recebíveis - No Exterior|01012021|31129999|36|A|1.01.01.09|5|01
