CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
3.11|RESULTADO LÍQUIDO DO PERÍODO ANTES DO IRPJ E DA CSLL - ATIVIDADE RURAL|01012021|31129999|2|S|3|2|04
3.11.01|RESULTADO OPERACIONAL DA ATIVIDADE RURAL|01012021|31129999|3|S|3.11|3|04
3.11.01.01|RECEITA OPERACIONAL LÍQUIDA DA ATIVIDADE RURAL|01012021|31129999|4|S|3.11.01|4|04
3.11.01.01.01|RECEITA BRUTA DA ATIVIDADE RURAL|01012021|31129999|5|S|3.11.01.01|5|04
3.11.01.01.01.01|Receita da Atividade Rural - Exportação Direta|01012021|31129999|6|A|3.11.01.01.01|6|04
3.11.01.01.01.02|Receita da Atvidade Rural - Venda a Comercial Exportadora com Fim Específico de Exportação|01012021|31129999|7|A|3.11.01.01.01|6|04
3.11.01.01.01.03|Receita da Atividade Rural - Mercado Interno|01012021|31129999|8|A|3.11.01.01.01|6|04
3.11.01.01.02|DEDUÇÕES DA RECEITA BRUTA|01012021|31129999|9|S|3.11.01.01|5|04
3.11.01.01.02.01|(-) Vendas Canceladas e Devoluções de Vendas|01012021|31129999|10|A|3.11.01.01.02|6|04
3.11.01.01.02.02|(-) Descontos Incondicionais e Abatimentos|01012021|31129999|11|A|3.11.01.01.02|6|04
3.11.01.01.02.03|(-) ICMS|01012021|31129999|12|A|3.11.01.01.02|6|04
3.11.01.01.02.04|(-) Cofins Sobre Receita Bruta|01012021|31129999|13|A|3.11.01.01.02|6|04
3.11.01.01.02.05|(-) PIS/Pasep Sobre Receita Bruta|01012021|31129999|14|A|3.11.01.01.02|6|04
3.11.01.01.02.06|(-) ISS|01012021|31129999|15|A|3.11.01.01.02|6|04
3.11.01.01.02.09|(-) Demais Impostos e Contribuições Incidentes sobre Vendas e Serviços|01012021|31129999|16|A|3.11.01.01.02|6|04
3.11.01.01.02.10|(-) Ajuste a Valor Presente sobre Receita Bruta|01012021|31129999|17|A|3.11.01.01.02|6|04
3.11.01.03|CUSTO DOS BENS E PRODUTOS|01012021|31129999|18|S|3.11.01|4|04
3.11.01.03.01|CUSTO DOS BENS E PRODUTOS VENDIDOS DA ATIVIDADE RURAL|01012021|31129999|19|S|3.11.01.03|5|04
3.11.01.03.01.01|(-) Custo dos Bens e Produtos Vendidos da Atividade Rural|01012021|31129999|20|A|3.11.01.03.01|6|04
3.11.01.05|OUTRAS RECEITAS OPERACIONAIS|01012021|31129999|21|S|3.11.01|4|04
3.11.01.05.01|OUTRAS RECEITAS OPERACIONAIS DA ATIVIDADE RURAL|01012021|31129999|22|S|3.11.01.05|5|04
3.11.01.05.01.01|Variações Cambiais Ativas|01012021|31129999|23|A|3.11.01.05.01|6|04
3.11.01.05.01.02|Ganhos Auferidos no Mercado de Renda Variável, exceto Day-Trade|01012021|31129999|24|A|3.11.01.05.01|6|04
3.11.01.05.01.03|Ganhos em Operações Day-Trade|01012021|31129999|25|A|3.11.01.05.01|6|04
3.11.01.05.01.04|Receitas de Juros sobre o Capital Próprio|01012021|31129999|26|A|3.11.01.05.01|6|04
3.11.01.05.01.05|Outras Receitas Financeiras|01012021|31129999|27|A|3.11.01.05.01|6|04
3.11.01.05.01.06|Resultados Positivos em Participações Societárias Avaliadas pelo Método de Equivalência Patrimonial|01012021|31129999|28|A|3.11.01.05.01|6|04
3.11.01.05.01.07|Resultados Positivos em SCP Avaliadas pelo Método de Equivalência Patrimonial|01012021|31129999|29|A|3.11.01.05.01|6|04
3.11.01.05.01.08|Rendimentos e Ganhos de Capital Auferidos no Exterior|01012021|31129999|30|A|3.11.01.05.01|6|04
3.11.01.05.01.09|Reversão das Perdas Estimadas Decorrentes de Teste de Recuperabilidade (Impairment)|01012021|31129999|31|A|3.11.01.05.01|6|04
3.11.01.05.01.10|Reversão dos Saldos das Provisões|01012021|31129999|32|A|3.11.01.05.01|6|04
3.11.01.05.01.11|Prêmios Recebidos na Emissão de Debêntures|01012021|31129999|33|A|3.11.01.05.01|6|04
3.11.01.05.01.12|Doações e Subvenções para Custeio ou Operações|01012021|31129999|34|A|3.11.01.05.01|6|04
3.11.01.05.01.13|Receitas de Reclassificação de Ajustes de Avaliação Patrimonial|01012021|31129999|35|A|3.11.01.05.01|6|04
3.11.01.05.01.14|Receitas de Reclassificação de Ajustes de Avaliação Patrimonial - Reflexo|01012021|31129999|36|A|3.11.01.05.01|6|04
3.11.01.05.01.16|Receitas Financeiras Decorrentes de Ajustes ao Valor Presente|01012021|31129999|37|A|3.11.01.05.01|6|04
3.11.01.05.01.17|Ganho Por Compra Vantajosa em Investimentos|01012021|31129999|38|A|3.11.01.05.01|6|04
3.11.01.05.01.18|Amortização de Menos-Valia|01012021|31129999|39|A|3.11.01.05.01|6|04
3.11.01.05.01.19|Receita de Aluguel de Bens Imóveis - Atividade Não Principal|01012021|31129999|40|A|3.11.01.05.01|6|04
3.11.01.05.01.20|Receita de Aluguel de Bens Móveis - Atividade Não Principal|01012021|31129999|41|A|3.11.01.05.01|6|04
3.11.01.05.01.21|Créditos Presumidos de IPI|01012021|31129999|42|A|3.11.01.05.01|6|04
3.11.01.05.01.22|Créditos Presumidos de PIS/COFINS|01012021|31129999|43|A|3.11.01.05.01|6|04
3.11.01.05.01.23|Outros Créditos Fiscais Presumidos|01012021|31129999|44|A|3.11.01.05.01|6|04
3.11.01.05.01.24|Multas e Outras Vantagens Recebidas|01012021|31129999|45|A|3.11.01.05.01|6|04
3.11.01.05.01.25|Lucros e Dividendos Derivados de Participações Societárias Avaliadas pelo Custos de Aquisição|01012021|31129999|46|A|3.11.01.05.01|6|04
3.11.01.05.01.26|Receitas com Empréstimos de Valores Mobiliários|01012021|31129999|47|A|3.11.01.05.01|6|04
3.11.01.05.01.27|Rendimentos Auferidos em Operações de Mútuo  Partes Relacionadas|01012021|31129999|48|A|3.11.01.05.01|6|04
3.11.01.05.01.28|Rendimentos Auferidos em Operações de Mútuo  Partes Não Relacionadas|01012021|31129999|49|A|3.11.01.05.01|6|04
3.11.01.05.01.29|Rendimentos Auferidos com Debêntures - Emitente Partes  Relacionadas|01012021|31129999|50|A|3.11.01.05.01|6|04
3.11.01.05.01.30|Rendimentos Auferidos com Debêntures - Emitente Partes Não Relacionadas|01012021|31129999|51|A|3.11.01.05.01|6|04
3.11.01.05.01.31|Rendimentos Auferidos com Títulos Públicos|01012021|31129999|52|A|3.11.01.05.01|6|04
3.11.01.05.01.32|Juros Auferidos com Outros Ativos Financeiros Mensurados Pelo Custo Amortizado|01012021|31129999|53|A|3.11.01.05.01|6|04
3.11.01.05.01.33|Ganho de Ajustes a Valor Justo - Instrumentos Financeiros  para Negociação - Não Hedge  Valor Justo pelo Resultado (VJPR).|01012021|31129999|54|A|3.11.01.05.01|6|04
3.11.01.05.01.34|Ganho de Ajustes a Valor Justo  - Instrumentos Financeiros  Disponíveis para Venda - Reclassificação de Ajustes de Avaliação Patrimonial|01012021|31129999|55|A|3.11.01.05.01|6|04
3.11.01.05.01.35|Ganho de Ajustes a Valor Justo - Instrumentos Financeiros  de Hedge  de Valor Justo|01012021|31129999|56|A|3.11.01.05.01|6|04
3.11.01.05.01.36|Ganho de Ajustes a Valor Justo - Instrumentos Financeiros  de Hedge -  Reclassificação de Ajustes de Avaliação Patrimonial|01012021|31129999|57|A|3.11.01.05.01|6|04
3.11.01.05.01.37|Ganho de Ajustes a Valor Justo - Item Objeto de Hedge de Valor Justo|01012021|31129999|58|A|3.11.01.05.01|6|04
3.11.01.05.01.38|Ganho de Ajustes a Valor Justo - Propriedade para Investimento|01012021|31129999|59|A|3.11.01.05.01|6|04
3.11.01.05.01.39|Ganho de Ajustes a Valor Justo - Ativo Biológico Consumível|01012021|31129999|60|A|3.11.01.05.01|6|04
3.11.01.05.01.40|Ganho de Ajustes a Valor Justo - Ativo Biológico de Produção|01012021|31129999|61|A|3.11.01.05.01|6|04
3.11.01.05.01.41|Ganho de Ajustes a Valor Justo - Ativos Não Circulantes Mantidos para Venda|01012021|31129999|62|A|3.11.01.05.01|6|04
3.11.01.05.01.42|Ganho de Ajustes a Valor Justo - Subscrição de Capital com demais Bens|01012021|31129999|63|A|3.11.01.05.01|6|04
3.11.01.05.01.43|Ganho de Ajustes a Valor Justo - Subscrição de Capital com Participação Societária|01012021|31129999|64|A|3.11.01.05.01|6|04
3.11.01.05.01.44|Ganho de Ajustes a Valor Justo - Aquisição de Participação Societária em Estágios|01012021|31129999|65|A|3.11.01.05.01|6|04
3.11.01.05.01.45|Ganho de Ajustes a Valor Justo  - Decorrente de Permuta de Ativos ou Passivos|01012021|31129999|66|A|3.11.01.05.01|6|04
3.11.01.05.01.46|Ganho de Ajustes a Valor Justo  - Outras Operações|01012021|31129999|67|A|3.11.01.05.01|6|04
3.11.01.05.01.47|Doações e Subvenções para Investimentos|01012021|31129999|68|A|3.11.01.05.01|6|04
3.11.01.05.01.48|Doações e Subvenções para investimentos Habilitadas para Crédito Fiscal de IRPJ|01012023|31129999|94|A|3.11.01.05.01|6|04
3.11.01.05.01.99|Outras Receitas Operacionais|01012021|31129999|69|A|3.11.01.05.01|6|04
3.11.01.07|DESPESAS OPERACIONAIS|01012021|31129999|70|S|3.11.01|4|04
