CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
1.0.0.0.0.00.00|ATIVO GERAL|01012021|31122024|2|S||1|01
1.1.0.0.0.00.00|ATIVO|01012021|31122024|3|S|1.0.0.0.0.00.00|2|01
1.1.1.0.0.00.00|CIRCULANTE E REALIZÁVEL A LONGO PRAZO|01012021|31122024|4|S|1.1.0.0.0.00.00|3|01
1.1.1.1.0.00.00|DISPONIBILIDADES|01012021|31122024|5|S|1.1.1.0.0.00.00|4|01
1.1.1.1.1.00.00|CAIXA|01012021|31122024|6|S|1.1.1.1.0.00.00|5|01
1.1.1.1.1.10.00|CAIXA|01012021|31122024|7|A|1.1.1.1.1.00.00|6|01
1.1.1.1.2.00.00|DEPÓSITOS BANCÁRIOS|01012021|31122024|8|S|1.1.1.1.0.00.00|5|01
1.1.1.1.2.30.00|DEPÓSITOS BANCÁRIOS DE INSTITUIÇÕES SEM CONTA RESERVA|01012021|31122024|9|A|1.1.1.1.2.00.00|6|01
1.1.1.1.2.92.00|DEPÓSITOS BANCÁRIOS|01012021|31122024|10|A|1.1.1.1.2.00.00|6|01
1.1.1.1.3.00.00|RESERVAS LIVRES|01012021|31122024|11|S|1.1.1.1.0.00.00|5|01
1.1.1.1.3.10.00|BANCO CENTRAL - RESERVAS LIVRES EM ESPÉCIE|01012021|31122024|12|A|1.1.1.1.3.00.00|6|01
1.1.1.1.3.90.00|BANCO CENTRAL - OUTRAS RESERVAS LIVRES|01012021|31122024|13|A|1.1.1.1.3.00.00|6|01
1.1.1.1.4.00.00|APLICAÇÕES EM OURO|01012021|31122024|14|S|1.1.1.1.0.00.00|5|01
1.1.1.1.4.10.00|APLICAÇÕES TEMPORÁRIAS EM OURO|01012021|31122024|15|A|1.1.1.1.4.00.00|6|01
1.1.1.1.5.00.00|DISPONIBILIDADES EM MOEDAS ESTRANGEIRAS|01012021|31122024|16|S|1.1.1.1.0.00.00|5|01
1.1.1.1.5.10.00|BANCOS - DEPÓSITOS EM MOEDAS ESTRANGEIRAS NO PAÍS|01012021|31122024|17|A|1.1.1.1.5.00.00|6|01
1.1.1.1.5.20.00|DEPÓSITOS NO EXTERIOR EM MOEDAS ESTRANGEIRAS|01012021|31122024|18|A|1.1.1.1.5.00.00|6|01
1.1.1.1.5.40.00|DISPONIBILIDADES DE MOEDAS ESTRANGEIRAS|01012021|31122024|19|A|1.1.1.1.5.00.00|6|01
1.1.1.2.0.00.00|APLICAÇÕES INTERFINANCEIRAS DE LIQUIDEZ|01012021|31122024|20|S|1.1.1.0.0.00.00|4|01
1.1.1.2.1.00.00|APLICAÇÕES EM OPERAÇÕES COMPROMISSADAS|01012021|31122024|21|S|1.1.1.2.0.00.00|5|01
1.1.1.2.1.10.00|REVENDAS A LIQUIDAR - POSIÇÃO BANCADA|01012021|31122024|22|S|1.1.1.2.1.00.00|6|01
1.1.1.2.1.10.03|LETRAS FINANCEIRAS DO TESOURO|01012021|31122024|23|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.05|LETRAS DO TESOURO NACIONAL|01012021|31122024|24|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.07|NOTAS DO TESOURO NACIONAL|01012021|31122024|25|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.10|OBRIGAÇÕES DO TESOURO NACIONAL|01012021|31122024|26|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.12|BÔNUS DO TESOURO NACIONAL|01012021|31122024|27|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.15|LETRAS DO BANCO CENTRAL|01012021|31122024|28|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.16|NOTAS DO BANCO CENTRAL|01012021|31122024|29|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.18|BÔNUS DO BANCO CENTRAL|01012021|31122024|30|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.20|TÍTULOS ESTADUAIS E MUNICIPAIS|01012021|31122024|31|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.21|TÍTULOS ESTADUAIS - DÍVIDAS REFINANCIADAS PELA UNIÃO|01012021|31122024|32|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.25|CERTIFICADOS DE DEPÓSITO BANCÁRIO|01012021|31122024|33|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.30|CDB - INSTITUIÇÃO FINANCEIRA LIGADA|01012021|31122024|34|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.35|LETRAS DE CÂMBIO|01012021|31122024|35|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.40|LC - INSTITUIÇÃO FINANCEIRA LIGADA|01012021|31122024|36|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.45|LETRAS IMOBILIÁRIAS|01012021|31122024|37|A|1.1.1.2.1.10.00|7|01
1.1.1.2.1.10.50|LI - INSTITUIÇÃO FINANCEIRA LIGADA|01012021|31122024|38|A|1.1.1.2.1.10.00|7|01
